ID_EMPRESA;EMPRESA;ID_OBRA;OBRA;RECEITA_RECEBIDA;RECEITA_BRUTA;SALDO_ABERTO;TITULOS
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;190;OBRAS PARCERIAS TABULEIRO - QUADRAS;269642.05;269642.05;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;143;CONSTRUÇÃO DE ESPAÇO EDUCATIVO 06 SALAS - CAMPOS SALES;268659.32;268659.32;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;149;REFORMA UBS JARDIM - PARACURU;263954.49;263954.49;0.00;3
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;70;PREFEITURA MUNICIPAL DE CAMOCIM - CONCLUSAO CRECHE;245626.33;245626.33;0.00;2
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;96;IFCE MANUTENÇÃO PREDIAL - ACARAU;234756.98;234756.98;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;158;REFORMA DA CRECHE SONHOS DE CRIANÇA - POÇO DOCE - PARACURU;228593.97;228593.97;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;39;PRAÇA MUNICIPAL EDWAR SILVEIRA - MORRINHOS;224664.22;224664.22;0.00;3
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;101;CONSTRUÇÃO DA ESTRUTURA DOS 12 LEITOS DE UTI - COVID19 - CAUCAIA;217750.29;217750.29;0.00;2
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;193;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO LAGOA (AÇUDE DE WALTIM) - ASSARE;213723.21;213723.21;0.00;2
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;172;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MARTINS - ASSARÉ;194006.54;194006.54;0.00;2
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;234;IFCE - CAMPUS PECEM - SUBESTAÇÃO - GRUPO 01;186914.58;186914.58;0.00;14
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;208;CONSTRUÇÃO DE UNIDADE BASICA DE SAUDE INDIGENA TIPO III NA ALDEIA VILA VITORIA;180738.28;180738.28;0.00;1
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;238;IFCE - CAMPUS IGUATU - SUBESTAÇÃO - GRUPO 04;177970.41;177970.41;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;258;1 - SOP - CONSTRUÇÃO DE CEI - ICAPUÍ;169257.68;169257.68;0.00;2
