ID;NOME;EMPRESA;STATUS
260;1 - REFORMA DA ESCOLA FREI TITO DE ALENCAR LIMA - FORTALEZA;1;Ativa
261;1 - URBANIZAÇÃO CAMPUS UNILAB;1;Ativa
262;1 - UNILAB - CONSTRUÇÃO DOS BLOCOS ANEXOS DO CAMPUS DOS MALÊS;1;Ativa
263;2 - CONSTRUÇÃO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS CAMOCIM;1;Ativa
264;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS CRATEUS;1;Ativa
265;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS MARACANAU;1;Ativa
266;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS MORADA NOVA;1;Ativa
267;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - TABULEIRO DO NORTE;1;Ativa
268;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS UBAJARA;1;Ativa
269;1 - CONSTRUÇÃO SEDE OPERACIONAL PRF - POCINHOS/PB;1;Ativa
270;1 - REFORMA E AMPLIAÇÃO DE HOSPITAL - ASSARE;1;Ativa
271;1 - UNIDADE DE ALIMENTAÇÃO NUTRICIONAL DO CAMPUS ACARAÚ DO IFCE;1;Ativa
272;2 - CONSTRUÇÃO DE 12 SALAS DE AULA COM QUADRA POLIESPORTIVA COBERTA - ASSARE;1;Ativa
273;PROJETO DE CASAS - ALPHAVILLE;1;Ativa
274;CONSTRUÇÃO DE UMA ESCOLA - 12 SALAS - VARZEA ALEGRE;1;Ativa
275;CONSTRUÇÃO DE CENTRO COMERCIAL HARMONY - LIGHT STEEL FRAME;1;Ativa
276;ALMOXARIFADO PROVISORIO DO GENESIS;1;Ativa
277;VT FOX - OII2820;1;Ativa
278;UNIDADE NUTRICIONAL DO CAMPUS BATURITÉ - IFCE (DESATIVADO);1;Ativa
279;UNIDADE NUTRICIONAL DO CAMPUS CAMOCIM - IFCE;1;Ativa
280;UNIDADE NUTRICIONAL DO CAMPUS CAUCAIA - IFCE;1;Ativa
281;UNIDADE NUTRICIONAL DO CAMPUS PARACURU - IFCE;1;Ativa
282;UNIDADE NUTRICIONAL DO CAMPUS HORIZONTE - IFCE;1;Ativa
283;UNIDADE NUTRICIONAL DO CAMPUS TIANGUÁ - IFCE;1;Ativa
284;UNIDADE NUTRICIONAL DO CAMPUS UBAJARA - IFCE;1;Ativa
285;TESTE - LANÇAMENTO DE ORÇAMENTOS;1;Ativa
286;UNIDADE NUTRICIONAL DO CAMPUS MORADA NOVA - IFCE;1;Ativa
287;UNIDADE NUTRICIONAL DO CAMPUS BATURITÉ - IFCE;1;Ativa
288;ALMOXARIFADO DINÂMICA - READEQUADO;1;Ativa
289;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO GADO DOS FERROS - PALMACIA CE;1;Ativa
290;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO BASÍLIO - PALMACIA CE;1;Ativa
291;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO DE JAPÃO - PALMACIA CE;1;Ativa
292;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO DE VILA BU - PALMACIA CE;1;Ativa
293;SIENA - NUS0749;1;Ativa
294;CAMPUS MAURITI PERTENCE A EXPANSÃO IV DO IFCE;1;Ativa
998;PROVISÕES;1;Ativa
999;BANCOS (CEF, ITAU, BRADESCO E BNB);1;Ativa
10001;ESCRITORIO VILLA SANTORINI;10;Ativa
10002;OBRA VILLA SANTORINI;10;Ativa
20001;ESCRITÓRIO JFK;2;Ativa
20002;GESTÃO CONTRATOS INSTITUTO CENTRAL DAS CRECHES COMUNITARIAS;2;Ativa
20003;REFORMA SALA - IFCE MARACANAÚ;2;Ativa
20004;CASA BOULEVARD;2;Ativa
30001;ESCRITORIO POLY STEEL;3;Ativa
30002;OBRAS PARCERIA POLY STEEL;3;Ativa
30003;OBRAS PARACURU;3;Ativa
30004;STEEL FRAME CRATEUS;3;Ativa
